,timestamp,time_of_day,day_of_week,cloud_cover,temperature_c,solar_irradiance_w,dept_load_w,hostel_load_w,total_load_w
2026-04-01 00:00:00,1775001600,0,2,0.5159884754987121,20.94015996920764,0.5048588896736794,69.01172680717725,487.7418042747116,556.7535310818889
2026-04-01 00:05:00,1775001900,0,2,0.5403311035988436,21.38414640875107,8.287122358660218,70.2571632678214,513.4805618764873,583.7377251443087
2026-04-01 00:10:00,1775002200,0,2,0.5169031041045173,20.225041355466523,1.1034514042465688,44.45360835357681,501.6581894266396,546.1117977802164
2026-04-01 00:15:00,1775002500,0,2,0.4945645616446896,20.1757281609283,0.0,27.11509424765423,488.6834936321116,515.7985878797658
2026-04-01 00:20:00,1775002800,0,2,0.4751170584077361,20.0,7.709603026822744,21.12250337063259,509.83251606660644,530.955019437239
2026-04-01 00:25:00,1775003100,0,2,0.46506559867548913,21.262550068910798,2.1887277784225696,53.202851112730414,503.4168509988883,556.6197021116187
2026-04-01 00:30:00,1775003400,0,2,0.46838175606197513,20.0,0.0,58.779836962566065,522.0324576192489,580.812294581815
2026-04-01 00:35:00,1775003700,0,2,0.46646403303987727,20.02385599158355,2.3567764156413067,50.84321296692512,497.6469832273446,548.4901961942697
2026-04-01 00:40:00,1775004000,0,2,0.4577022883977856,20.0,0.0,49.05090893590119,511.0870399706871,560.1379489065882
2026-04-01 00:45:00,1775004300,0,2,0.4650427934608614,20.128998503078947,0.0,39.23135537346686,485.5116556086724,524.7430109821393
2026-04-01 00:50:00,1775004600,0,2,0.4502451146968242,20.0,4.687660977658301,58.766775692670976,513.9602755016357,572.7270511943067
2026-04-01 00:55:00,1775004900,0,2,0.44337118138545006,20.0,5.483789353285528,72.46218116075529,509.44160058211156,581.9037817428668
2026-04-01 01:00:00,1775005200,1,2,0.44016245896496003,20.0,9.20501731048877,20.327528397239565,516.0434743379377,536.3710027351773
2026-04-01 01:05:00,1775005500,1,2,0.44355953668869647,20.0,2.1142342526371016,48.9626618342571,511.1058031750874,560.0684650093444
2026-04-01 01:10:00,1775005800,1,2,0.4366621056463255,20.0,0.0,37.01207823186432,499.00951814124323,536.0215963731075
2026-04-01 01:15:00,1775006100,1,2,0.4144820989941153,20.0,4.1819012828861055,30.050405876882845,488.2887343596314,518.3391402365143
2026-04-01 01:20:00,1775006400,1,2,0.4109644304198059,20.0,4.256179490927307,34.875495260544334,493.9794709963596,528.8549662569039
2026-04-01 01:25:00,1775006700,1,2,0.4291475941039562,20.0,8.205050216019146,55.081846483372395,482.3884961280188,537.4703426113912
2026-04-01 01:30:00,1775007000,1,2,0.4245832562866143,20.0,0.0,55.42033934982715,490.7910096881629,546.2113490379901
2026-04-01 01:35:00,1775007300,1,2,0.44747747460883264,20.0,0.0,69.54566441275018,504.25861349208435,573.8042779048345
2026-04-01 01:40:00,1775007600,1,2,0.41849197368851404,20.0,0.0,50.11753928101941,499.52247121174815,549.6400104927676
2026-04-01 01:45:00,1775007900,1,2,0.3961559979069338,20.0,2.6917866457723325,26.46654936488521,497.7640985986778,524.230647963563
2026-04-01 01:50:00,1775008200,1,2,0.406189871217654,20.0,0.0,46.812147528461146,492.068970840525,538.8811183689862
2026-04-01 01:55:00,1775008500,1,2,0.4455668520001022,20.0,3.8869004490210632,31.443588849508952,482.2760098914172,513.7195987409261
2026-04-01 02:00:00,1775008800,2,2,0.43883716433153835,20.0,2.9440713494704784,33.847274463414195,51.8208311323725,85.6681055957867
2026-04-01 02:05:00,1775009100,2,2,0.41684429468041123,20.0,2.930223725012219,57.77066878809325,53.79160192468643,111.56227071277968
2026-04-01 02:10:00,1775009400,2,2,0.4120665031524157,20.0,0.6922773808873575,52.59907322174574,40.084364399532845,92.68343762127859
2026-04-01 02:15:00,1775009700,2,2,0.4330001722901264,20.0,7.6776585304954805,57.86444990788498,44.6655972983628,102.53004720624779
2026-04-01 02:20:00,1775010000,2,2,0.44369800495205003,20.0,4.367229658446356,45.21502856593801,65.42133454089429,110.6363631068323
2026-04-01 02:25:00,1775010300,2,2,0.4361061712806018,20.0,0.0,60.581082691975226,61.59497953573634,122.17606222771157
2026-04-01 02:30:00,1775010600,2,2,0.43487369121722813,20.0,0.0,44.46668353178809,35.15575438271049,79.62243791449859
2026-04-01 02:35:00,1775010900,2,2,0.4183088371536074,20.0,0.0,64.94658004029286,49.153636127692444,114.10021616798531
2026-04-01 02:40:00,1775011200,2,2,0.4440626397319716,20.0,2.7610079852216836,54.612924406801596,64.54955682372253,119.16248123052412
2026-04-01 02:45:00,1775011500,2,2,0.42935126835187315,20.0,0.0,47.229387609379856,47.835790026924805,95.06517763630467
